Question ID	Question Part	Choices Part	Choices Preview
Q77	Text                	Multiline Text      	A, B | A, C | B, D  – 29 – | C, D  --- Page 30 ---...
Q78	Text                	Text                	ANSI | CEN | ISO | JIS...
Q79	Text                	Multiline Text      	An apparel manufacturer outsources product inspect...
Q80	Text                	Multiline Text      	SCM  CRM  POS | POS  CRM  SCM | CRM  SCM  POS | SC...
Q81	Text                	Text                	the 4Cs | the 4Ss | AIDMA | SWOT...
Q82	Text                	Text                	I | I, II, III | I, III | II...
Q83	Text                	Multiline Text      	Cluster analysis regarding the prices and the cust...
Q84	Text                	Multiline Text      	BPR | Incubation | Alliance | Benchmarking  – 31 –...
Q85	Text                	Multiline Text      	It is a mechanism where services with a higher add...
Q86	Text                	Multiline Text      	As it is a system that comprehensively supports bu...
Q87	Text                	Multiline Text      	Shipment is not possible immediately when an order...
Q88	Text                	Text                	Scanning barcode at a POS register | Sending image...
Q89	Text                	Text                	FA | OA | Fintech | Sharing economy...
Q90	Text                	Text                	Content delivery network | Neural network | Storag...
Q91	Text                	Multiline Text      	BPO | CIM | JIT  – 33 – | OEM  --- Page 34 ---...
Q92	Diagram             	Multiline Text      	Production Specifications diagram  Process diagram...
Q93	Text                	Text                	Groupware | Firmware | Shareware | Freeware...
Q94	Text                	Multiline Text      	Data warehouse | Data mining | Data processing | D...
Q95	Text                	Text                	ROA | RPA | SFA | SOA...
Q96	Text                	Multiline Text      	To analyze a large volume of data that is handled ...
Q97	Table               	Multiline Text      	Vendor A | Vendor C | Vendor B | Vendor D  – 35 – ...
Q98	Text                	Text                	Planning process | Development process | Requireme...
Q99	Text                	Multiline Text      	RFI  RFP | RFI  SLA | RFP  RFI | RFP  SLA...
Q100	Text                	Multiline Text      	A/B test | Cluster analysis | ABC analysis | Regre...
