Question ID	Question Part	Choices Part	Choices Preview
Q32	Text                	Text                	00.00.11.aa.bb.cc | 050-1234-5678 | 10.123.45.67 |...
Q33	Text                	Text                	Mr. P and Mr. Q can see that the same e-mail was a...
Q34	Text                	Text                	MVNO | NFC | NTP | VoIP...
Q35	Text                	Text                	A, B, D | A, C, D | A, D | B, C...
Q36	Text                	Text                	A, C, D | A, D | B, C | C, D...
Q37	Text                	Text                	Computer virus | Social engineering | Tapping of c...
Q38	Text                	Text                	CDs and DVDs are destroyed and then are disposed o...
Q39	Text                	Text                	Keylogger | Ransomware | Rootkit | Worm...
Q40	Text                	Text                	Authentication with a fingerprint | Authentication...
Q41	Text                	Text                	Reboot of the PC | Notification to the workplace b...
Q42	Table               	Text                	a) | b) | c) | d)...
Q43	Text                	Diagram (Likely)    	P | D | C | A...
Q44	Text                	Text                	Halting activities that involve risk and fundament...
Q45	Text                	Text                	A mechanism that achieves login to multiple server...
Q46	Text                	Text                	Inspection | Walk-through | Black-box testing | Wh...
Q47	Text                	Text                	The party to which development is outsourced uses ...
Q48	Text                	Text                	Computerization planning | System operation | Soft...
Q49	Text                	Text                	It operates even if the OS of the PC that RPA runs...
Q50	Text                	Text                	The developer prepares a prototype of important fu...
Q51	Diagram             	Text                	a) | b) | c) | d)...
Q52	Text                	Text                	Discussing detailed measures against decrease in q...
Q53	Diagram             	Diagram (Likely)    	1 | 2 | 3 | 4...
Q54	Text                	Text                	1.5 | 2.5 | 3 | 6...
Q55	Text                	Text                	CRM | ERP | PPM | WBS...
Q56	Text                	Text                	Declaring to the customer that change requests can...
Q57	Text                	Text                	Updating the mailing list, etc. so that informatio...
Q58	Text                	Text                	Optimization of IT service cost | Continuation of ...
Q59	Text                	Text                	Eliminating root cause of incident. | Installing u...
Q60	Text                	Text                	Recommendation | Chatbot | Escalation | FAQs...
Q61	Text                	Text                	Providing services on basis of SLA. | Preparing se...
Q62	Text                	Text                	A: Availability, B: Capacity, C: Security | A: Ava...
Q63	Text                	Text                	Shareholders | Management | System auditor | Head ...
Q64	Text                	Text                	Effectiveness and efficiency of business | Reliabi...
Q65	Text                	Text                	To check risks are controlled. | To check risk man...
Q66	Text                	Text                	Refrain from generating unrestrained ideas. | Proc...
Q67	Text                	Text                	77 | 99 | 110 | 129...
Q68	Text                	Text                	Risk transfer | Risk avoidance | Risk reduction | ...
Q69	Text                	Text                	Business environment | Business strategy | Managem...
Q70	Text                	Text                	(Gross profit) − (Selling, general, and administra...
Q71	Table               	Text                	PERT chart | Control chart | Cause and effect diag...
Q72	Text                	Text                	CEO | CFO | COO | CTO...
Q73	Text                	Text                	Sharing sales know-how. | Sharing customer informa...
Q74	Text                	Text                	IEEE 802.3 | ISO/IEC 27001 | JPEG 2000 | MPEG 1...
Q75	Text                	Text                	Daily workload balance. | Common components and pr...
Q76	Text                	Text                	A product having no customer complaints and high s...
Q77	Text                	Text                	Enhancing labor system for women. | Purchasing ano...
Q78	Text                	Text                	Activation | Adware | Subscription | Volume licens...
Q79	Text                	Text                	Extend retirement age. | Procure funds at low inte...
Q80	Text                	Text                	Analysis of value chain. | Increase in autonomy by...
Q81	Text                	Text                	Perspectives of customers, competitors, and compan...
Q82	Text                	Text                	Management technique from four viewpoints (financi...
Q83	Text                	Text                	M&A | Cross-license | Joint venture | Spin-off...
Q84	Text                	Text                	Sold over Internet. | Sales info managed with data...
Q85	Text                	Text                	BPO | RPA | Open API | Technology management...
Q86	Text                	Text                	ETC | GPS | POS | SCM...
Q87	Text                	Text                	Integrates info between departments. | Digital edu...
Q88	Text                	Text                	Identifying material volume. | Automating producti...
Q89	Text                	Text                	Car sharing | Car navigation system | Connected ca...
Q90	Text                	Text                	Kanban system | Craft production system | Cell pro...
Q91	Text                	Text                	Loan-based | Donation-based | Purchase-based | Inv...
Q92	Text                	Text                	AR | GUI | VR | Metaverse...
Q93	Text                	Text                	Transitions of state. | Relationships and data str...
Q94	Text                	Text                	Big data | Diversity | Core competence | Crowdfund...
Q95	Text                	Text                	Created independently. | IS strategy is created on...
Q96	Text                	Text                	CRM | KPI | PoC | SLA...
Q97	Text                	Text                	A: Info system dept, B: Vendors, C: System require...
Q98	Text                	Text                	SDGs | SDK | SGA | SGML...
Q99	Text                	Text                	Planning process | Requirements definition process...
Q100	Text                	Text                	Digital signage | Digital disruption | Digital div...
